Round_name,Run_id,Version,Total_timespan,Total_travel_time,Average_travel_Time,Max_Travel_time,Total_#_cars,#_finished,Deadline Misses,Deadline_overTime,Time,Teleport_Jam,Teleport_Yield,Teleport_Wrong_Lane,#_Collisions,#Emergency_stops
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-27,duaIterate,Meso-DUE.9.5,1595,264529,264.529,1262,1000,1000,0,0,0,0,2,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-28,duaIterate,Meso-DUE.9.5,1595,264529,264.529,1262,1000,1000,0,0,0,0,2,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-29,duaIterate,Meso-DUE.9.5,1595,264529,264.529,1262,1000,1000,0,0,0,0,2,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-0,duaIterate,Meso-SUMO-DUE.9.5,1622,278422,278.422,1252,1000,1000,0,0,0,1,2,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-1,duaIterate,Meso-SUMO-DUE.9.5,1594,256952,256.952,1287,1000,1000,0,0,0,0,1,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-2,duaIterate,Meso-SUMO-DUE.9.5,1594,256952,256.952,1287,1000,1000,0,0,0,0,1,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-3,duaIterate,Meso-SUMO-DUE.9.5,1594,256952,256.952,1287,1000,1000,0,0,0,0,1,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-4,duaIterate,Meso-SUMO-DUE.9.5,1594,256952,256.952,1287,1000,1000,0,0,0,0,1,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-5,duaIterate,Meso-SUMO-DUE.9.5,1594,256952,256.952,1287,1000,1000,0,0,0,0,1,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-6,duaIterate,Meso-SUMO-DUE.9.5,1594,256952,256.952,1287,1000,1000,0,0,0,0,1,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-7,duaIterate,Meso-SUMO-DUE.9.5,1594,256952,256.952,1287,1000,1000,0,0,0,0,1,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-8,duaIterate,Meso-SUMO-DUE.9.5,1594,256952,256.952,1287,1000,1000,0,0,0,0,1,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-9,duaIterate,Meso-SUMO-DUE.9.5,1594,256952,256.952,1287,1000,1000,0,0,0,0,1,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-10,duaIterate,Meso-SUMO-DUE.9.5,1594,256952,256.952,1287,1000,1000,0,0,0,0,1,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-11,duaIterate,Meso-SUMO-DUE.9.5,1594,256952,256.952,1287,1000,1000,0,0,0,0,1,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-12,duaIterate,Meso-SUMO-DUE.9.5,1594,256952,256.952,1287,1000,1000,0,0,0,0,1,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-13,duaIterate,Meso-SUMO-DUE.9.5,1594,256952,256.952,1287,1000,1000,0,0,0,0,1,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-14,duaIterate,Meso-SUMO-DUE.9.5,1594,256952,256.952,1287,1000,1000,0,0,0,0,1,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-15,duaIterate,Meso-SUMO-DUE.9.5,1594,256952,256.952,1287,1000,1000,0,0,0,0,1,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-16,duaIterate,Meso-SUMO-DUE.9.5,1594,256952,256.952,1287,1000,1000,0,0,0,0,1,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-17,duaIterate,Meso-SUMO-DUE.9.5,1594,256952,256.952,1287,1000,1000,0,0,0,0,1,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-18,duaIterate,Meso-SUMO-DUE.9.5,1591,263623,263.623,1259,1000,1000,0,0,0,1,1,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-19,duaIterate,Meso-SUMO-DUE.9.5,1591,263623,263.623,1259,1000,1000,0,0,0,1,1,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-20,duaIterate,Meso-SUMO-DUE.9.5,1591,263623,263.623,1259,1000,1000,0,0,0,1,1,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-21,duaIterate,Meso-SUMO-DUE.9.5,1591,263623,263.623,1259,1000,1000,0,0,0,1,1,0,0,0
4corners_neighborhoods.net.xml-On_Project_R-0-Iteration-22,duaIterate,Meso-SUMO-DUE.9.5,1591,263623,263.623,1259,1000,1000,0,0,0,1,1,0,0,0
