Round_name,Run_id,Version,Total_timespan,Total_travel_time,Average_travel_Time,Max_Travel_time,Total_#_cars,#_finished,Deadline Misses,Deadline_overTime,Time,Teleport_Jam,Teleport_Yield,Teleport_Wrong_Lane,#_Collisions,#Emergency_stops
Random_English.net.xml-test_R-0-Iteration-21,duaIterate,Meso-DUE.9.5,1365.00,177962.0,177.962,480.0,1000,1000.0,0,0,78.12809562683105,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-22,duaIterate,Meso-DUE.9.5,1363.00,178560.0,178.56,478.0,1000,1000.0,0,0,78.12809562683105,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-23,duaIterate,Meso-DUE.9.5,1365.00,177962.0,177.962,480.0,1000,1000.0,0,0,78.12809562683105,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-24,duaIterate,Meso-DUE.9.5,1363.00,178560.0,178.56,478.0,1000,1000.0,0,0,78.12809562683105,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-25,duaIterate,Meso-DUE.9.5,1365.00,177962.0,177.962,480.0,1000,1000.0,0,0,78.12809562683105,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-26,duaIterate,Meso-DUE.9.5,1365.00,177962.0,177.962,480.0,1000,1000.0,0,0,78.12809562683105,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-27,duaIterate,Meso-DUE.9.5,1363.00,178560.0,178.56,478.0,1000,1000.0,0,0,78.12809562683105,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-28,duaIterate,Meso-DUE.9.5,1365.00,177962.0,177.962,480.0,1000,1000.0,0,0,78.12809562683105,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-29,duaIterate,Meso-DUE.9.5,1363.00,178560.0,178.56,478.0,1000,1000.0,0,0,78.12809562683105,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-0,duaIterate,Macro-DUE.9.5,1343.00,177469.0,177.469,453.0,1000,1000.0,0,0,0.2970421314239502,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-1,duaIterate,Macro-DUE.9.5,1347.00,177287.0,177.287,454.0,1000,1000.0,0,0,0.36188387870788574,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-2,duaIterate,Macro-DUE.9.5,1349.00,179047.0,179.047,452.0,1000,1000.0,0,0,0.319242000579834,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-3,duaIterate,Macro-DUE.9.5,1343.00,177894.0,177.894,435.0,1000,1000.0,0,0,0.39511728286743164,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-4,duaIterate,Macro-DUE.9.5,1329.00,177800.0,177.8,436.0,1000,1000.0,0,0,0.39812731742858887,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-5,duaIterate,Macro-DUE.9.5,1327.00,177055.0,177.055,452.0,1000,1000.0,0,0,0.5432443618774414,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-6,duaIterate,Macro-DUE.9.5,1344.00,176798.0,176.798,457.0,1000,1000.0,0,0,0.8587324619293213,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-7,duaIterate,Macro-DUE.9.5,1329.00,177385.0,177.385,427.0,1000,1000.0,0,0,0.47449207305908203,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-8,duaIterate,Macro-DUE.9.5,1328.00,177707.0,177.707,441.0,1000,1000.0,0,0,0.5154664516448975,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-9,duaIterate,Macro-DUE.9.5,1327.00,177191.0,177.191,440.0,1000,1000.0,0,0,0.5008397102355957,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-10,duaIterate,Macro-DUE.9.5,1351.00,178192.0,178.192,423.0,1000,1000.0,0,0,0.585813045501709,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-11,duaIterate,Macro-DUE.9.5,1346.00,178075.0,178.075,439.0,1000,1000.0,0,0,0.600853681564331,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-12,duaIterate,Macro-DUE.9.5,1343.00,177941.0,177.941,453.0,1000,1000.0,0,0,0.6950678825378418,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-13,duaIterate,Macro-DUE.9.5,1347.00,177789.0,177.789,441.0,1000,1000.0,0,0,0.6220288276672363,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-14,duaIterate,Macro-DUE.9.5,1349.00,176849.0,176.849,435.0,1000,1000.0,0,0,0.6311111450195312,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-15,duaIterate,Macro-DUE.9.5,1340.00,178051.0,178.051,445.0,1000,1000.0,0,0,0.7867538928985596,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-16,duaIterate,Macro-DUE.9.5,1342.00,177195.0,177.195,421.0,1000,1000.0,0,0,0.6630659103393555,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-17,duaIterate,Macro-DUE.9.5,1345.00,178201.0,178.201,440.0,1000,1000.0,0,0,0.6797363758087158,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-18,duaIterate,Macro-DUE.9.5,1343.00,177941.0,177.941,453.0,1000,1000.0,0,0,1.0123231410980225,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-19,duaIterate,Macro-DUE.9.5,1344.00,178389.0,178.389,473.0,1000,1000.0,0,0,0.8347313404083252,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-20,duaIterate,Macro-DUE.9.5,1344.00,178118.0,178.118,438.0,1000,1000.0,0,0,0.8602454662322998,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-21,duaIterate,Macro-DUE.9.5,1343.00,178781.0,178.781,453.0,1000,1000.0,0,0,0.8934798240661621,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-22,duaIterate,Macro-DUE.9.5,1334.00,178336.0,178.336,445.0,1000,1000.0,0,0,1.0050320625305176,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-23,duaIterate,Macro-DUE.9.5,1346.00,177801.0,177.801,425.0,1000,1000.0,0,0,1.1324071884155273,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-24,duaIterate,Macro-DUE.9.5,1338.00,177456.0,177.456,444.0,1000,1000.0,0,0,0.9736878871917725,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-25,duaIterate,Macro-DUE.9.5,1340.00,178295.0,178.295,472.0,1000,1000.0,0,0,1.010450839996338,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-26,duaIterate,Macro-DUE.9.5,1343.00,178012.0,178.012,452.0,1000,1000.0,0,0,0.9676902294158936,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-27,duaIterate,Macro-DUE.9.5,1343.00,178381.0,178.381,473.0,1000,1000.0,0,0,1.0459177494049072,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-28,duaIterate,Macro-DUE.9.5,1343.00,178004.0,178.004,440.0,1000,1000.0,0,0,0.9947633743286133,0,0,0,0,0
Random_English.net.xml-test_R-0-Iteration-29,duaIterate,Macro-DUE.9.5,1343.00,183327.0,183.327,745.0,1000,1000.0,0,0,1.4703731536865234,0,3,0,0,0
Random_English.net.xml-test_R-1-Iteration-0,duaIterate,Micro-DUE.9.5,1368.00,173383.0,173.383,488.0,1000,1000.0,0,0,964.1925702095032,0,0,0,0,0
Random_English.net.xml-test_R-1-Iteration-1,duaIterate,Micro-DUE.9.5,1373.00,174140.0,174.14,468.0,1000,1000.0,0,0,964.1925702095032,0,0,0,0,0
Random_English.net.xml-test_R-1-Iteration-2,duaIterate,Micro-DUE.9.5,1348.00,174577.0,174.577,460.0,1000,1000.0,0,0,964.1925702095032,0,0,0,0,0
Random_English.net.xml-test_R-1-Iteration-3,duaIterate,Micro-DUE.9.5,1349.00,174235.0,174.235,467.0,1000,1000.0,0,0,964.1925702095032,0,0,0,0,0
Random_English.net.xml-test_R-1-Iteration-4,duaIterate,Micro-DUE.9.5,1359.00,174531.0,174.531,446.0,1000,1000.0,0,0,964.1925702095032,0,0,0,0,0
Random_English.net.xml-test_R-1-Iteration-5,duaIterate,Micro-DUE.9.5,1360.00,174023.0,174.023,456.0,1000,1000.0,0,0,964.1925702095032,0,0,0,0,0
Random_English.net.xml-test_R-1-Iteration-6,duaIterate,Micro-DUE.9.5,1360.00,174830.0,174.83,475.0,1000,1000.0,0,0,964.1925702095032,0,0,0,0,0
Random_English.net.xml-test_R-1-Iteration-7,duaIterate,Micro-DUE.9.5,1359.00,174691.0,174.691,485.0,1000,1000.0,0,0,964.1925702095032,0,0,0,0,0
Random_English.net.xml-test_R-1-Iteration-8,duaIterate,Micro-DUE.9.5,1363.00,176360.0,176.36,484.0,1000,1000.0,0,0,964.1925702095032,0,0,0,0,0
Random_English.net.xml-test_R-1-Iteration-9,duaIterate,Micro-DUE.9.5,1360.00,175277.0,175.277,510.0,1000,1000.0,0,0,964.1925702095032,0,0,0,0,0
Random_English.net.xml-test_R-1-Iteration-10,duaIterate,Micro-DUE.9.5,1359.00,174942.0,174.942,452.0,1000,1000.0,0,0,964.1925702095032,0,0,0,0,0
